rowNumber,Date,Company,Level,Title,TCOMP,Location,YearsOfExperience,YearsOfService,Tag,BaseSalary,StockGrant,Bonus,Gender,CityId
5433,2019-01-29,AMAZON,L5,Software Engineer,202.0,"Seattle, WA",4,2,API Development (Back-End),148.0,31.0,23.0,Female,11527
5458,2019-01-30,AMAZON,SDE II,Software Engineer,144.0,"Seattle, WA",4,5,Distributed Systems (Back-End),124.0,20.0,0.0,Male,11527
5492,2019-01-31,AMAZON,SDE II,Software Engineer,190.0,"Seattle, WA",6,0,Full Stack,161.0,9.0,20.0,Male,11527
5651,2019-02-05,AMAZON,L5,Software Engineer,119.0,"Seattle, WA",1,1,Distributed Systems (Back-End),88.0,21.0,10.0,Male,11527
5694,2019-02-06,AMAZON,L4,Software Engineer,193.0,"Seattle, WA",0,1,Distributed Systems (Back-End),167.0,7.0,19.0,Male,11527
5709,2019-02-07,AMAZON,SDE II,Software Engineer,252.0,"Seattle, WA",3,2,Full Stack,200.0,30.0,22.0,Male,11527
5742,2019-02-08,AMAZON,L4,Software Engineer,181.0,"Seattle, WA",4,0,Web Development (Front-End),152.0,26.0,3.0,Male,11527
5830,2019-02-12,AMAZON,SDE III,Software Engineer,182.0,"Seattle, WA",5,3,Networking,139.0,43.0,0.0,Male,11527
5917,2019-02-15,AMAZON,L5,Software Engineer,208.0,"Seattle, WA",6,4,Full Stack,150.0,58.0,0.0,Male,11527
5924,2019-02-15,AMAZON,SDE II,Software Engineer,244.0,"Seattle, WA",5,1,Distributed Systems (Back-End),201.0,28.0,15.0,Male,11527
6007,2019-02-19,AMAZON,L4,Software Engineer,154.0,"Seattle, WA",1,0,Distributed Systems (Back-End),120.0,21.0,13.0,NotDisclosed,11527
6022,2019-02-20,AMAZON,SDE III,Software Engineer,315.0,"Seattle, WA",6,7,Android,201.0,90.0,24.0,NotDisclosed,11527
6031,2019-02-21,AMAZON,L4,Software Engineer,183.0,"Seattle, WA",1,2,Full Stack,155.0,8.0,20.0,Male,11527
6202,2019-02-27,AMAZON,L4,Software Engineer,131.0,"Seattle, WA",5,0,Full Stack,106.0,4.0,21.0,Male,11527
6301,2019-03-01,AMAZON,L4,Software Engineer,174.0,"Seattle, WA",0,0,Full Stack,125.0,17.0,32.0,Male,11527
6315,2019-03-02,AMAZON,L4,Software Engineer,189.0,"Seattle, WA",15,1,Full Stack,155.0,3.0,31.0,Male,11527
6394,2019-03-04,AMAZON,SDE I,Software Engineer,175.0,"Seattle, WA",4,0,Distributed Systems (Back-End),147.0,16.0,12.0,NotDisclosed,11527
6465,2019-03-06,AMAZON,SDE II,Software Engineer,155.0,"Seattle, WA",0,1,Distributed Systems (Back-End),100.0,47.0,8.0,Male,11527
6499,2019-03-07,AMAZON,SDE I,Software Engineer,165.0,"Seattle, WA",0,0,Full Stack,147.0,10.0,8.0,Male,11527
6504,2019-03-07,AMAZON,L5,Software Engineer,179.0,"Seattle, WA",9,1,Distributed Systems (Back-End),139.0,32.0,8.0,Male,11527
6514,2019-03-07,AMAZON,L5,Software Engineer,115.0,"Seattle, WA",6,0,Full Stack,79.0,21.0,15.0,Male,11527
6525,2019-03-08,AMAZON,L4,Software Engineer,143.0,"Seattle, WA",3,3,Full Stack,124.0,10.0,9.0,Female,11527
6567,2019-03-09,AMAZON,L5,Software Engineer,123.0,"Seattle, WA",5,2,API Development (Back-End),74.0,49.0,0.0,NotDisclosed,11527
6648,2019-03-12,AMAZON,L5,Software Engineer,258.0,"Seattle, WA",12,4,Distributed Systems (Back-End),185.0,73.0,0.0,Female,11527
6691,2019-03-13,AMAZON,SDE II,Software Engineer,233.0,"Seattle, WA",12,2,iOS,153.0,51.0,29.0,Male,11527
6752,2019-03-15,AMAZON,SDE II,Software Engineer,160.0,"Seattle, WA",15,0,Full Stack,112.0,41.0,7.0,Male,11527
6849,2019-03-19,AMAZON,SDE II,Software Engineer,211.0,"Seattle, WA",13,1,Web Development (Front-End),149.0,62.0,0.0,Male,11527
6914,2019-03-21,AMAZON,L4,Software Engineer,185.0,"Seattle, WA",2,0,API Development (Back-End),143.0,5.0,37.0,Male,11527
6916,2019-03-21,AMAZON,L5,Software Engineer,179.0,"Seattle, WA",6,0,Full Stack,89.0,64.0,26.0,NotDisclosed,11527
6967,2019-03-22,AMAZON,SDE I,Software Engineer,139.0,"Seattle, WA",1,0,Distributed Systems (Back-End),104.0,5.0,30.0,Male,11527
